,Hypertension,Diabetes,Heartproblems,Stroke,Dementia,Pregnancy,Stunting,Menopouse
2010,0.35,0.04,1.22,0.29,0.05,0.1428571428571,0.2,0.1111111111111
2011,0.36,0.04,1.26,0.31,0.050077922077922,0.1430055658626659,0.1998701298701298,0.1112121212121101
2012,0.37,0.04,1.3,0.33,0.0503896103896103,0.1435992578849298,0.1993506493506493,0.1116161616161506
2013,0.38,0.04,1.34,0.35,0.051090909090909,0.1449350649350236,0.1981818181818181,0.1125252525252418
2014,0.39,0.04,1.38,0.37,0.0523376623376623,0.1473098330240792,0.196103896103896,0.1141414141414039
2015,0.4,0.04,1.42,0.39,0.0542857142857142,0.1510204081632285,0.1928571428571428,0.1166666666666571
2016,0.41,0.04,1.46,0.41,0.057090909090909,0.1563636363636036,0.1881818181818182,0.1203030303030218
2017,0.42,0.04,1.5,0.43,0.0609090909090909,0.1636363636363363,0.1818181818181818,0.1252525252525181
2018,0.43,0.04,1.54,0.45,0.0658961038961039,0.1731354359925586,0.1735064935064935,0.1317171717171665
2019,0.44,0.04,1.58,0.47,0.0722077922077922,0.1851576994434026,0.1629870129870129,0.139898989898987
2020,0.49,0.06,1.59,0.45,0.08,0.2,0.15,0.15
2021,0.5,0.06,1.63,0.47,0.0877922077922077,0.2148423005565974,0.137012987012987,0.160101010101013
2022,0.51,0.06,1.67,0.49,0.0955844155844155,0.2296846011131948,0.124025974025974,0.170202020202026
2023,0.52,0.06,1.71,0.51,0.1033766233766233,0.2445269016697921,0.111038961038961,0.1803030303030389
2024,0.53,0.06,1.75,0.53,0.1111688311688311,0.2593692022263896,0.098051948051948,0.1904040404040519
2025,0.54,0.06,1.79,0.55,0.1189610389610389,0.274211502782987,0.085064935064935,0.2005050505050649
2026,0.55,0.06,1.83,0.57,0.1267532467532467,0.2890538033395843,0.072077922077922,0.2106060606060779
2027,0.56,0.06,1.87,0.59,0.1345454545454545,0.3038961038961817,0.0590909090909091,0.2207070707070909
2028,0.57,0.06,1.91,0.61,0.1423376623376623,0.3187384044527792,0.0461038961038961,0.2308080808081039
2029,0.58,0.06,1.95,0.63,0.1501298701298701,0.3335807050093766,0.0331168831168831,0.2409090909091168
2030,0.59,0.06,1.99,0.65,0.1579220779220779,0.348423005565974,0.0201298701298701,0.2510101010101299
