index,NCD,Economic Burden
2014,Diabetes,945899315.0
2015,Diabetes,950418795.5194803
2016,Diabetes,968496717.5974026
2017,Diabetes,1009172042.2727273
2018,Diabetes,1081483730.5844157
2019,Diabetes,1194470743.5714283
2020,Diabetes,1357172042.2727273
2021,Diabetes,1578626587.7272727
2022,Diabetes,1867873340.974026
2023,Diabetes,2233951263.051948
2024,Diabetes,2685899315.0
2025,Diabetes,2859899315.0
2026,Diabetes,3033899315.0
2027,Diabetes,3207899315.0
2028,Diabetes,3381899315.0
2029,Diabetes,3555899315.0
2030,Diabetes,3729899315.0
2031,Diabetes,3903899315.0
2032,Diabetes,4077899315.0
2033,Diabetes,4251899315.0
2034,Diabetes,4425899315.0
2014,Heart Problem,1020000000.0
2015,Heart Problem,1021896103.896104
2016,Heart Problem,1029480519.4805197
2017,Heart Problem,1046545454.5454544
2018,Heart Problem,1076883116.883117
2019,Heart Problem,1124285714.2857144
2020,Heart Problem,1192545454.5454545
2021,Heart Problem,1285454545.4545455
2022,Heart Problem,1406805194.8051949
2023,Heart Problem,1560389610.3896103
2024,Heart Problem,1750000000.0
2025,Heart Problem,1823000000.0
2026,Heart Problem,1896000000.0
2027,Heart Problem,1969000000.0
2028,Heart Problem,2042000000.0
2029,Heart Problem,2115000000.0
2030,Heart Problem,2188000000.0
2031,Heart Problem,2261000000.0
2032,Heart Problem,2334000000.0
2033,Heart Problem,2407000000.0
2034,Heart Problem,2480000000.0
2014,Hypertension,100000000.0
2015,Hypertension,103618840.69090907
2016,Hypertension,118094203.45454544
2017,Hypertension,150663769.6727273
2018,Hypertension,208565220.72727272
2019,Hypertension,299036238.0
2020,Hypertension,429314502.8727273
2021,Hypertension,606637696.7272727
2022,Hypertension,838243500.9454546
2023,Hypertension,1131369596.909091
2024,Hypertension,1493253666.0
2025,Hypertension,1677253666.0
2026,Hypertension,1861253666.0
2027,Hypertension,2045253666.0
2028,Hypertension,2229253666.0
2029,Hypertension,2413253666.0
2030,Hypertension,2597253666.0
2031,Hypertension,2781253666.0
2032,Hypertension,2965253666.0
2033,Hypertension,3149253666.0
2034,Hypertension,3333253666.0
2014,Stroke,100000000.0
2015,Stroke,101116883.11688311
2016,Stroke,105584415.58441558
2017,Stroke,115636363.63636364
2018,Stroke,133506493.50649352
2019,Stroke,161428571.42857143
2020,Stroke,201636363.63636363
2021,Stroke,256363636.36363637
2022,Stroke,327844155.8441558
2023,Stroke,418311688.3116883
2024,Stroke,530000000.0
2025,Stroke,680000000.0
2026,Stroke,830000000.0
2027,Stroke,980000000.0
2028,Stroke,1130000000.0
2029,Stroke,1280000000.0
2030,Stroke,1430000000.0
2031,Stroke,1580000000.0
2032,Stroke,1730000000.0
2033,Stroke,1880000000.0
2034,Stroke,2030000000.0
