,Hypertension,Diabetes,Heart Problem,Stroke
2014,100000000.0,945899315.0,1020000000.0,100000000.0
2015,103618840.69090909,950418795.5194805,1021896103.8961039,101116883.11688311
2016,118094203.45454545,968496717.5974026,1029480519.4805195,105584415.58441558
2017,150663769.6727273,1009172042.2727273,1046545454.5454545,115636363.63636364
2018,208565220.72727272,1081483730.5844157,1076883116.883117,133506493.50649351
2019,299036238.0,1194470743.5714285,1124285714.2857144,161428571.42857143
2020,429314502.8727273,1357172042.2727273,1192545454.5454545,201636363.63636363
2021,606637696.7272727,1578626587.7272727,1285454545.4545455,256363636.36363634
2022,838243500.9454546,1867873340.974026,1406805194.8051949,327844155.8441558
2023,1131369596.909091,2233951263.051948,1560389610.3896103,418311688.3116883
2024,1493253666.0,2685899315.0,1750000000.0,530000000.0
2025,1677253666.0,2859899315.0,1823000000.0,680000000.0
2026,1861253666.0,3033899315.0,1896000000.0,830000000.0
2027,2045253666.0,3207899315.0,1969000000.0,980000000.0
2028,2229253666.0,3381899315.0,2042000000.0,1130000000.0
2029,2413253666.0,3555899315.0,2115000000.0,1280000000.0
2030,2597253666.0,3729899315.0,2188000000.0,1430000000.0
2031,2781253666.0,3903899315.0,2261000000.0,1580000000.0
2032,2965253666.0,4077899315.0,2334000000.0,1730000000.0
2033,3149253666.0,4251899315.0,2407000000.0,1880000000.0
2034,3333253666.0,4425899315.0,2480000000.0,2030000000.0
