,Hypertension,Diabetes,Heart Problem,Stroke
2014,50000000.0,709424486.25,948600000.0,50000000.0
2015,52455979.789927796,712814096.6396104,950363376.6233766,51091194.8051948
2016,62279898.94963896,726372538.1980519,957416883.1168832,55455974.02597403
2017,84383717.0589891,756879031.7045455,973287272.7272727,65276727.27272727
2018,123679393.69783378,811112797.9383117,1001501298.7012987,82735844.15584415
2019,185078888.4460286,895853057.6785715,1045585714.2857143,110015714.28571428
2020,273494160.8834291,1017879031.7045455,1109067272.7272727,149298727.27272728
2021,393837170.58989096,1183969940.7954545,1195472727.2727273,202767272.72727272
2022,551019877.1452696,1400905005.7305195,1308328831.168831,272603740.25974023
2023,749954240.1294209,1675463447.288961,1451162337.6623375,360990519.4805194
2024,995552219.1222001,2014424486.25,1627500000.0,470110000.0
2025,1118225019.1222003,2144924486.25,1695390000.0,603160000.0
2026,1240897819.1222003,2275424486.25,1763280000.0,736210000.0
2027,1363570619.1222003,2405924486.25,1831170000.0,869260000.0
2028,1486243419.1222003,2536424486.25,1899060000.0,1002310000.0
2029,1608916219.1222003,2666924486.25,1966950000.0,1135360000.0
2030,1731589019.1222003,2797424486.25,2034840000.0,1268410000.0
2031,1854261819.1222003,2927924486.25,2102730000.0,1401460000.0
2032,1976934619.1222003,3058424486.25,2170620000.0,1534510000.0
2033,2099607419.1222005,3188924486.25,2238510000.0,1667560000.0
2034,2222280219.1222005,3319424486.25,2306400000.0,1800610000.0
