Cost ID,Category,Sub-Category,Item,Desc,Quantity Low,Quantity High,Unit,Amount Low,Amount High,Amount AUD Low,Amount AUD High,Remark,Type,Already Incurred,Confirmed By,Relative to Prototype Number,Needed Pre-Product
,Marketing,Social Event,Past Marketing Cost,"Utilities: Banner, Brochures, Printing, Transport, etc",,1,times,"Rp4,900,000","Rp4,900,000",$464.24,$464.24,,OPEX,Yes,Zia,Fixed Cost,Yes
,,Social Event,Private Social Event,,2,4,times,"Rp4,000,000","Rp8,000,000",$378.97,$757.94,,OPEX,Not Yet,Zia,Fixed Cost,Yes
,,Social Event,Joint Social Event,,6,8,times,"Rp36,000,000","Rp48,000,000","$3,410.75","$4,547.67",,OPEX,Not Yet,Zia,Fixed Cost,Yes
,,Social Event,Professional Documentation,Photographer,8,12,times,"Rp8,000,000","Rp12,000,000",$757.94,"$1,136.92",,OPEX,Not Yet,Zia,Fixed Cost,Yes
,,Advertising,Past Social Media Ads,During 2024 (already spent),2,2,times,"Rp7,000,000","Rp7,000,000",$663.20,$663.20,,OPEX,Yes,Zia,Fixed Cost,Yes
,,Advertising,Social Media Ads,,2,2,times,"Rp2,000,000","Rp2,000,000",$189.49,$189.49,,OPEX,Not Yet,Syifa,Fixed Cost,Yes
,,Advertising,Google Ads ,,3,5,times,"Rp3,000,000","Rp5,000,000",$284.23,$473.72,,OPEX,Not Yet,Zaki,Fixed Cost,Yes
,,Advertising,Past Influencers Endorsement,During 2023,2,2,times,"Rp1,955,000","Rp1,955,000",$185.22,$185.22,,OPEX,Yes,Zia,Fixed Cost,Yes
,,Advertising,Influencers Endorsement,,3,3,times,"Rp5,000,000","Rp5,000,000",$473.72,$473.72,,OPEX,Not Yet,Syifa,Fixed Cost,Yes
,,Advertising,Marketing Officer (Ads Controller and Optimization),,4,4,Month,"Rp10,000,000","Rp10,000,000",$947.43,$947.43,Assumed 2.5m part time per month,OPEX,Not Yet,Zia,Fixed Cost,Yes
,,Advertising,CRM Marketing Optimization ,Third-Party optimization tool,3,3,Month,"Rp3,000,000","Rp3,000,000",$284.23,$284.23,,OPEX,Not Yet,Zia,Fixed Cost,Yes
