Country,Disease,Population ,Population Over 50,Number on Population Over 40,Prevalence % on Population Over 40,Prevalence # on Population Over 40,Economic Burden ($),% Undiagnosed out of Population,% Undiagnosed out of Population Over 40,Source,Year
Indonesia,Hypertension,,,,,,,,,,2020
Indonesia,Diabetes,,,,,,,,,,2020
Indonesia,Heart Problem,,,,,,,,,,2020
Indonesia,Stroke,,,,,,,,,,2020
Indonesia,Dermentia,,,,,,,,,,2020
Indonesia,Pregnancy,,,,,,,,,,2020
Indonesia,Stunting,,,,,,,,,,2020
Indonesia,Menopouse,,,,,,,,,,2020
Australia,Hypertension,"26,974,026","9,440,909","6,800,000",25.2%,,not available,23%,47%,,2024
Australia,Diabetes,"26,974,026","9,440,909","1,100,000",4.1%,,"$1,600,000,000",15%,not available,,2024
Australia,Heart Problem,"26,974,026","9,440,909","2,600,000",9.6%,,not available,6.70%,not available,,2024
Australia,Stroke,"26,974,026","9,440,909","1,100,000",4.1%,,"$414,000,000",not avalable,not available,,2024
Australia,Dermentia,"26,974,026","9,440,909","500,000",1.9%,,not available,50%,not available,,2024
Australia,Pregnancy,"26,974,026","9,440,909","18,000",0.1%,,not available,not available,not available,,2024
Australia,Stunting,"26,974,026","9,440,909","37,400",0.1%,,not available,not available,not available,,2024
Australia,Menopouse,"26,974,026","9,440,909","2,970,000",11.0%,,not available,not available,not available,,2024
US,Hypertension,"347,275,807","119,392,268","146,000,000",42.0%,,"$198,300,000,000",6.10%,not available,,2024
US,Diabetes,"347,275,807","119,392,268","50,000,000",14.4%,,"$143,900,000,000",3.40%,7%,,2024
US,Heart Problem,"347,275,807","119,392,268","30,000,000",8.6%,,"$388,500,000,000",not available,5.9%,,2024
US,Stroke,"347,275,807","119,392,268","7,920,000",2.3%,,not available,not available,not available,,2024
US,Dermentia,"347,275,807","119,392,268","2,900,000",0.8%,,"$185,900,000,000",39.5,not available,,2024
US,Pregnancy,"347,275,807","119,392,268","216,000",0.1%,,"$55,600,000,000",not available,not available,,2024
US,Stunting,"347,275,807","119,392,268","3,700,000",1.1%,,not available,not available,not available,,2024
US,Menopouse,"347,275,807","119,392,268","13,000,000",3.7%,,not available,not available,not available,,2024
India,Hypertension,"1,463,865,525","225,649,000","120,000,000",8.2%,,"$4,500,000,000",26%,40%%,,2024
