Country,Disease,Year,Population,Population 40+,Prevalence % 40+,Prevalence # 40+,Economic Burden ($),% Undiagnosed Susceptible Population 40+,% Undiagnosed Population 40+,Undiagnosed : Diagnosed Ratio,Prevalence # Growth Yearly,Prevalence % Growth Yearly,Economic Burden Growth Yearly ($),Economic Burden Growth Yearly (%)
Australia,Dementia,2024.0,27800000.0,12200000.0,0.038,463600.0,1799280575.539568,0.46,0.018,0.85:1,18000.0,0.001,200000000.0,0.051
Romania,Diabetes,2024.0,19015088.0,8000000.0,0.12,960000.0,605834692.9554046,0.203,2.44,0.25 : 1,24000.0,0.003,61919999.99999999,0.043
Romania,Dementia,2024.0,19015088.0,8000000.0,0.032,256000.0,96765263.45815492,0.56,0.018,1.27 : 1,5000.0,0.000625,10000000.0,0.045
Portugal,Stroke,2024.0,10762000.0,4700000.0,0.032,150400.0,567738338.5987735,0.28,0.9,0.39 : 1,10000.0,0.002127659574468085,53299999.99999999,0.040999999999999995
Portugal,Hypertension,2024.0,10762000.0,4700000.0,0.426,2002200.0,480393978.8143468,0.3,12.8,0.3 : 0.7,-1202.0,-0.0002557446808510638,50000000.0,0.048
Portugal,Heart Problem,2024.0,10762000.0,4700000.0,0.132,620400.0,576472774.5772161,0.39,0.0515,0.64 : 1,11000.0,0.002340425531914894,66000000.0,0.05
Portugal,Diabetes,2024.0,10762000.0,4700000.0,0.132,620400.0,576472774.5772161,0.39,5.15,0.64 : 1,11000.0,0.002340425531914894,63360000.0,0.048
Portugal,Dementia,2024.0,10762000.0,4700000.0,0.047,220900.0,1061233971.3807843,0.46,0.0216,0.84 : 1,-1000.0,-0.0002127659574468085,120000000.0,0.052000000000000005
Malaysia,Stroke,2024.0,34200000.0,12200000.0,0.036000000000000004,439200.0,29287134.502923977,0.3,1.08,0.43 : 1,28000.0,0.001,4000000.0,0.05
Malaysia,Heart Problem,2024.0,34200000.0,12200000.0,0.21,2562000.0,535087719.2982456,0.35,0.076,1 : 1.8,10120000.0,0.8295081967213115,75000000.0,0.05
Malaysia,Diabetes,2024.0,34200000.0,12200000.0,0.18899999999999997,2305800.0,1248538011.6959064,0.47,8.9,0.89 : 1,90000.0,0.007377049180327869,101500000.0,0.028999999999999998
Ethiopia,Stroke,2024.0,132059767.0,29900000.0,1.5016722408026757e-05,449.0,12226282.361985387,0.4,0.006,0.67 : 1,150.0,5.016722408026756e-06,2000000.0,
India,Stroke,2024.0,1450900000.0,386000000.0,0.004,1428200.0,3458542973.3269005,0.36,0.13,0.56 : 1,90000.0,0.0001,800000000.0,
India,Heart Problem,2024.0,1450900000.0,386000000.0,0.16,61760000.0,6118960645.116824,0.45,0.072,1 : 1.2,3500000.0,0.009067357512953367,1610000000.0000002,0.07
India,Diabetes,2024.0,1450900000.0,386000000.0,0.124,47864000.0,14286442897.511889,0.42,5.2,0.72 : 1,143592.0,0.003,8400000000.0,0.184
India,Dementia,2024.0,1450900000.0,386000000.0,0.042,16212000.0,2527396788.2004275,0.56,0.024,1.27 :1,600000.0,0.001,500000000.0,0.055999999999999994
Finlandia,Stroke,2024.0,5637214.0,2250000.0,0.02,45000.0,518873329.98179597,0.15,0.3,0.18 : 1,360.0,0.00016,52000000.0,0.04
Finlandia,Hypertension,2024.0,5637214.0,2250000.0,0.38,855000.0,678526662.283887,0.3,11.4,0.43 : 1,19000.0,0.008444444444444444,100000000.0,0.063
Finlandia,Heart Problem,2024.0,5637214.0,2250000.0,0.10099999999999999,227250.0,22750599.853047978,0.39,0.0394,0.64 : 1,7000.0,0.003111111111111111,3191999.9999999995,0.055999999999999994
Finlandia,Diabetes,2024.0,5637214.0,2250000.0,0.10099999999999999,227250.0,22750599.853047978,0.39,3.94,0.64 : 1,7000.0,0.003111111111111111,3191999.9999999995,0.055999999999999994
Romania,Heart Problem,2024.0,19015088.0,8000000.0,0.12,960000.0,605834692.9554046,0.203,0.0244,0.25 : 1,24000.0,0.003,61919999.99999999,0.043
Romania,Stroke,2024.0,19015088.0,8000000.0,0.047,376000.0,483826317.2907746,0.3,1.4,0.3 : 1,32800.0,0.002,5000000.0,0.034
Rwanda,Dementia,2024.0,13798561.0,3840000.0,0.032,122880.0,61223775.43571391,0.56,0.0179,1.27 : 1,6000.0,0.0015625,10000000.0,0.048
Rwanda,Diabetes,2024.0,13798561.0,3840000.0,0.054000000000000006,207360.0,7235537.096948008,0.53,2.86,1.13 : 1,8400.0,0.0021875,3380000.0,0.13
Vietnam,Heart Problem,2024.0,100987686.0,40980000.0,0.128,5245440.0,446371253.61997104,0.45,0.57,1 : 1.22,280000.0,0.006832601268911664,52800000.0,0.048
