Country,Disease,Year,Population,Population 40+,Prevalence % 40+,Prevalence # 40+,Economic Burden ($),% Undiagnosed Susceptible Population 40+,% Undiagnosed Population 40+,Undiagnosed : Diagnosed Ratio,Prevalence # Growth Yearly,Prevalence % Growth Yearly,Economic Burden Growth Yearly ($),Economic Burden Growth Yearly (%),Source,,,,,Population Over 50,% Undiagnosed out of Population
Australia,Dementia,2024,"27,800,000","12,200,000",3.8%,"463,600",4.1 B,46%,0.018,0.85:1,18000,0.10%,0.2 B,5.1%,Estimates projected similarly.,,,8843.830889,,"60,000,000",0
Australia,Dementia,2022,"26,600,000","11,800,000",3.6%,"424,800",3.7 B,50%,0.018,1:1,0,0.00%,0,0%,Population: ABS/Worldometer; Prevalence: AIHW/BMC Public Health; Economic: AIHW; Undiagnosed: meta‑analyses,,2017,29000,,"60,000,000",2%
Australia,Dementia,2023,"27,100,000","12,000,000",3.7%,"444,000",3.9 B,48%,0.018,0.92:1,17000,0.10%,0.2 B,5.4%,Estimates based on trend from 2022 data and published undiagnosed rates.,,2018,30000,,"60,000,000",0
Australia,Diabetes,2024,"27,800,000","12,200,000",12.5%,"1,526,220",12.8 B,22%,2.8,0.28 : 1,60000,0.07%,,5.8%,"NDSS snapshot March 2024, AIHW update, trend projection",,2020,33000,,"60,000,000",0
Australia,Diabetes,2022,"26,600,000","11,800,000",12.0%,"1,416,000",11.5 B,25%,3,0.33 : 1,0,,,0%,"ABS National Health Measures (2022), AIHW expenditure, NDSS registrations, FDS2 study",,,,,"60,000,000",—
Australia,Diabetes,2023,"27,100,000","12,000,000",12.3%,"1,476,000",12.1 B,23%,2.8,0.30 : 1,60000,,,5.2%,,,,,,"9,440,909",23%
Australia,Heart Problem,2024,"27,800,000","12,000,000",7.2%,"858,720",15.5 B,25%,0.05,1 : 4,11200,0.11%,1.2 B,7.7%,,,,,,,
Australia,Heart Problem,2022,"26,600,000","11,800,000",22.0%,"2,596,000",12.7 B,30%,0.066,1: 3.3,120000,,1.6 B,12.6%,,,,,,,
Australia,Heart Problem,2023,"27,100,000","11,800,000",22.5%,"2,655,000",14.3 B,28%,0.057,1 : 3.6,120000,,1.2 B,8.4%,,,,,,"9,440,909",15%
Australia,Hypertension,2024,"27,800,000","12,200,000",34.0%,"4,148,000",1.2 B,23%,17,1 : 1,100000,,0.0405 B,7.7%,,,,,,,
Australia,Hypertension,2022,"26,600,000","11,800,000",34.0%,"4,012,000",1.2 B,50%,17,1 : 1,0,,,,,,,,,,
